"País","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Afganistán",43.01972,11.0570001602173,NA,11.0570001602173,10334090
"África al sur del Sahara",65.57706,6.15941513642456,4.60449,6.15941513642456,414655622
"África al sur del Sahara (BIRF y la AIF)",65.57706,6.15941513642456,4.60449,6.15941513642456,414655622
"África al sur del Sahara (excluido altos ingresos)",65.57343,6.15868356147524,4.486325,6.15868356147524,414046869
"Albania",98.14115,12.3400001525879,2.46866,12.3400001525879,1318022
"Alemania",NA,3.3840000629425,NA,3.3840000629425,43560137
"América del Norte",NA,4.10784865533161,NA,4.10784865533161,185827935
"América Latina y el Caribe",93.86706,7.95434022352442,NA,7.95434022352442,309038087
"América Latina y el Caribe (BIRF y la AIF)",93.75496,8.05308790741648,NA,8.05308790741648,302446925
"América Latina y el Caribe (excluido altos ingresos)",93.31166,8.00869729934244,NA,8.00869729934244,293707403
"Andorra",NA,NA,3.22691,NA,NA
"Angola",NA,7.01900005340576,NA,7.01900005340576,12705486
"Antigua y Barbuda",NA,NA,NA,NA,NA
"Arabia Saudita",NA,6.03999996185303,NA,6.03999996185303,14019589
"Argelia",81.40784,11.8819999694824,NA,11.8819999694824,12173459
"Argentina",99.00387,9.22000026702881,NA,9.22000026702881,20551682
"Armenia",NA,17.496000289917,NA,17.496000289917,1303093
"Aruba",97.80742,NA,NA,NA,NA
"Asia meridional",72.25239,5.05969096083991,2.11189,5.05969096083991,664696955
"Asia meridional (BIRF y la AIF)",72.25239,5.05969096083991,2.11189,5.05969096083991,664696955
"Asia oriental y el Pacífico",95.6076,3.78843549920883,NA,3.78843549920883,1263544716
"Asia oriental y el Pacífico (BIRF y la AIF)",95.81489,3.86954435072767,3.14565,3.86954435072767,1113997845
"Asia oriental y el Pacífico (excluido altos ingresos)",95.86556,3.85276904887783,NA,3.85276904887783,1130393843
"Australia",NA,5.2979998588562,NA,5.2979998588562,13254463
"Austria",NA,4.84800004959106,NA,4.84800004959106,4601213
"avanzada del dividendo demográfico",96.1515,5.059451446344,NA,5.059451446344,1240119998
"Azerbaiyán",NA,4.90000009536743,NA,4.90000009536743,5091052
"Bahamas",NA,10,NA,10,223064
